Name,Tier,Tree,Description,Ranks,Unlock
Persuasion,Tier 1,Social Skill,"In the Settled Systems, the nuanced ability to listen and discuss can often accomplish far more than simply shooting first and asking questions later.",10% increased chance of success when persuading someone.,Rank 1: Succeed in 3 speech challenges. Rank 2: Succeed in 5 speech challenges. Rank 3: Succeed in 10 speech challenges. Rank 4: Complete the previous rank challenge to unlock this rank.
Scavenging,Tier 1,Social Skill,"There are those who can find just about anything, and their success is usually dependent on knowing how, and where, to look,",There's a chance you'll find extra credits when searching containers.,Rank 1: Loot 25 containers. Rank 2: Loot 75 containers. Rank 3: Loot 150 containers. Rank 4: Complete the previous rank challenge to unlock this rank.
Theft,Tier 1,Social Skill,"While not entirely honorable, and certainly not legal, it is nonetheless occasionally necessary to discreetly remove property from someone's person,",Unlock the ability to pickpocket targets.,Rank 1: Successfully pickpocket 5 times. Rank 2: Successfully pickpocket 10 times. Rank 3: Successfully pickpocket 20 times. Rank 4: Complete the previous rank challenge to unlock this rank.
Negotiation,Tier 2,Social Skill,"In certain, more challenging communications, skillfully supplementing words with credits may help achieve the desired results.",You now have access to Bribery in speech challenges.,Rank 1: Bribe 3 times through persuasion. Rank 2: Bribe 5 times through persuasion. Rank 3: Bribe 10 times through persuasion. Rank 4: Complete the previous rank challenge to unlock this rank.
Isolation,Tier 2,Social Skill,"By eschewing team tactics and embracing the the advantages of ""lone wolf"" operations, one can vastly improve their combat effectiveness.",Do +10% weapon damage and gain 15 Damage Resistance for each Spacesuit and Helmet equipped when you don't have a companion or any crew.,Rank 1: Kill 20 enemies while not in command of a follower. Rank 2: Kill 50 enemies while not in command of a follower. Rank 3: Kill 100 enemies while not in command of a follower. Rank 4: Complete the previous rank challenge to unlock this rank.
Intimidation,Tier 2,Social Skill,"The ability to strike fear into an opponent, causing them to flee so that you can escape or attack first, can prove critical in a battle.",You can force a target NPC at or below your level to flee for a limited time.,Rank 1: Successfully Intimidate 5 different people. Rank 2: Successfully Intimidate 25 different people. Rank 3: Successfully Intimidate 50 different people. Rank 4: Complete the previous rank challenge to unlock this rank.
Diplomacy,Tier 2,Social Skill,"When a situation calls for words and not weapons, it's best to rely on those trained in statecraft and de-escalation.",You can force a target NPC at or below your level to stop fighting for a while.,Rank 1: Successfully use Diplomacy on 5 different people. Rank 2: Successfully use Diplomacy on 25 different people. Rank 3: Successfully use Diplomacy on 50 different people. Rank 4: Complete the previous rank challenge to unlock this rank.
Deception,Tier 2,Social Skill,"Smuggling and piracy are Both immoral and highly illegal, and considered plagues upon the Settled Systems. But certain undercover work may require a certain criminal skillset.",Ships 10% stronger will automatically surrender to piracy demands. Enemy contraband scans are 10% less effective.,Rank 1: Convince 5 ships to surrender. Rank 2: Convince 10 ships to surrender. Rank 3: Convince 20 ships to surrender. Rank 4: Complete the previous rank challenge to unlock this rank.
Instigation,Tier 3,Social Skill,"When combat is required, it can be advantageous to convince others to do the fighting for you.",You can force a target NPC at or below your level to attack their allies for a limited time.,Rank 1: Successfully Instigate 5 different people. Rank 2: Successfully Instigate 25 different people. Rank 3: Successfully Instigate 50 different people. Rank 4: Complete the previous rank challenge to unlock this rank.
Leadership,Tier 3,Social Skill,"Teamwork is the cornerstone of galactic survival, and nothing motivates a team more than a trained, decisive leader.",Companions gain affinity 25% faster.,Rank 1: Sprint 1000 meters with an active follower. Rank 2: Sprint 2500 meters with an active follower. Rank 3: Sprint 5000 meters with an active follower. Rank 4: Complete the previous rank challenge to unlock this rank.
Outpost Management,Tier 3,Social Skill,"While constructing an outpost offers its own challenges, properly managing that outpost takes a special personality type, and specialized training.",Additional cargo links can be placed at outposts.,Rank 1: Build cargo links on 6 different planets. Rank 2: Build cargo links on 8 different planets. Rank 3: Build cargo links on 10 different planets. Rank 4: Complete the previous rank challenge to unlock this rank.
Xenosociology,Tier 4,Social Skill,"While sentient life has yet to be discovered, the galaxy's alien species are generally intelligent enough to be susceptible to the power of suggestion.",You can force a target alien creature up to 10 levels higher than you to stop fighting for a limited time.,Rank 1: Successfully use Pacify on 15 different aliens. Rank 2: Successfully use Flee on 15 different aliens. Rank 3: Successfully use Frenzy on 15 different aliens. Rank 4: Complete the previous rank challenge to unlock this rank.
Ship Command,Tier 4,Social Skill,"They say a ship is only as good as its crew, but that is contingent upon that crew having the right captain to lead them.",You can have up to four active crew members.,Rank 1: Destroy or board 5 ships with a crew of two or more. Rank 2: Destroy or board 25 ships with a crew of two or more. Rank 3: Destroy or board 50 ships with a crew of two or more. Rank 4: Complete the previous rank challenge to unlock this rank.
Manipulation,Tier 4,Social Skill,"Recent studies have shown that suggestion is not an art, but a science, and as such can be weaponized to exert control over the susceptible.",You can force a target NPC at or below your level to obey commands for a limited time.,Rank 1: Successfully Manipulate 5 different people. Rank 2: Successfully Manipulate 25 different people. Rank 3: Successfully Manipulate 50 different people. Rank 4: Complete the previous rank challenge to unlock this rank.
Ballistic Weapon Systems,Tier 1,Tech Skill,"While there have been significant advancements in ship-borne weaponry, sometimes the simplest tool is the most effective.",Ballistic ship weapons have 10% increased damage and cost 20% less to use in Targeting Mode.,Rank 1: Deal 1000 damage to enemy ships with ballistic weapons. Rank 2: Deal 4000 damage to enemy ships with ballistic weapons. Rank 3: Deal 10000 damage to enemy ships with ballistic weapons. Rank 4: Complete the previous rank challenge to unlock this rank.
Boost Pack Training,Tier 1,Tech Skill,Specialized training and innovations in personal mobility systems have allowed for unfettered exploration on alien worlds.,You can now utilize boost packs.,Rank 1: Boost jump 10 times while in combat. Rank 2: Boost jump 25 times while in combat. Rank 3: Boost jump 50 times while in combat. Rank 4: Complete the previous rank challenge to unlock this rank.
Piloting,Tier 1,Tech Skill,"As more people journey into space, the number of those certified to effectively pilot various types of spacecraft has increased dramatically.",You can now utilize ship thrusters.,Rank 1: Destroy 5 ships. Rank 2: Destroy 15 ships. Rank 3: Destroy 30 ships. Rank 4: Complete the previous rank challenge to unlock this rank.
Security,Tier 1,Tech Skill,"While the standardized digital locking mechanism is renowned for its security, any code can be broken with the proper training.","You can attempt to hack Advanced locks, and 2 auto attempts can be banked.",Rank 1: __unlock1__ Rank 2: __unlock2__ Rank 3: __unlock3__ Rank 4: Complete the previous rank challenge to unlock this rank.
Targeting Control Systems,Tier 1,Tech Skill,"Missile weapons are favored because they can lock onto an enemy ship, but an intimate knowledge of tracking systems can make them even more effective.",Unlocks ship targeting functionality.,Rank 1: Destroy 5 enemy ships while in targeting mode. Rank 2: Destroy 15 enemy ships while in targeting mode. Rank 3: Destroy 30 enemy ships while in targeting mode. Rank 4: Complete the previous rank challenge to unlock this rank.
Shield Systems,Tier 2,Tech Skill,"Regardless of the power allocated by the reactor, a ship's shields can be further bolstered by direct manipulation of the system's harmonics.",Your ship has 20% increased shield capacity.,Rank 1: Take 150 shield damage. Rank 2: Take 350 shield damage. Rank 3: Take 750 shield damage. Rank 4: Complete the previous rank challenge to unlock this rank.
Payloads,Tier 2,Tech Skill,"Any pilot can haul cargo, but it takes special determination and training to maximize cargo space.",Ship cargo holds have 10% more capacity.,Rank 1: Make 10 grav jumps with 75% or more of Maximum cargo capacity. Rank 2: Make 25 grav jumps with 75% or more of Maximum cargo capacity. Rank 3: Make 50 grav jumps with 75% or more of Maximum cargo capacity. Rank 4: Complete the previous rank challenge to unlock this rank.
Engine Systems,Tier 2,Tech Skill,"Space is Both vast and dangerous, and the ability to push a ship's engine to increase speed can be done safely and effectively, with the right training.",Your ship's top speed is increased by 10%.,Rank 1: Boost 5 times with your spaceship while in combat. Rank 2: Boost 25 times with your spaceship while in combat. Rank 3: Boost 50 times with your spaceship while in combat. Rank 4: Complete the previous rank challenge to unlock this rank.
Energy Weapon Systems,Tier 2,Tech Skill,"In the 24th century, advancements in energy weapons technology have revolutionized combat, as much in space as on the ground.",Energy ship weapons have 10% increased damage and cost 15% less to use in Targeting Mode.,Rank 1: Deal 1000 damage to enemy ships with Energy weapons. Rank 2: Deal 4000 damage to enemy ships with Energy weapons. Rank 3: Deal 10000 damage to enemy ships with Energy weapons. Rank 4: Complete the previous rank challenge to unlock this rank.
Missile Weapon Systems,Tier 3,Tech Skill,"In space, few weapons can match the range and destructive power of missiles, especially in the hands of a skilled tactician.","Ship missile weapons do 10% more damage, and their Targeting mode cost is reduced by 20%.",Rank 1: Deal 1000 damage to enemy ships with missile weapons. Rank 2: Deal 4000 damage to enemy ships with missile weapons. Rank 3: Deal 10000 damage to enemy ships with missile weapons. Rank 4: Complete the previous rank challenge to unlock this rank.
Particle Beam Weapon Systems,Tier 3,Tech Skill,Ship weapons utilizing particle beam technology are the preferred choice for captains who prefer to damage multiple ship systems at once.,"Ship particle beam weapons do 10% more damage, and Targeting mode cost is reduced by 10%.",Rank 1: Deal 1000 damage to enemy ships with particle beam weapons. Rank 2: Deal 4000 damage to enemy ships with particle beam weapons. Rank 3: Deal 10000 damage to enemy ships with particle beam weapons. Rank 4: Complete the previous rank challenge to unlock this rank.
Robotics,Tier 3,Tech Skill,"In an age where roBots and autonomous turrets are employed in a combat capacity, the study of roBotics can be instrumental in gaining a tactical edge.",You deal 10% more damage to RoBots and Turrets. You can force a target roBot up to 10 levels higher than you to stop fighting for a limited time.,Rank 1: Destroy 5 roBots. Rank 2: Destroy 25 roBots. Rank 3: Destroy 50 roBots. Rank 4: Complete the previous rank challenge to unlock this rank.
